ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,212.63108108108105,11.204178373143117,21.350194231061966,12.939403150548312,10.146015857918849,1.735224777405195,degreeCentr
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,212.63108108108105,13.204178373143117,26.47640182101197,16.624636497138226,13.272223447868852,3.4204581239951093,degreeCentr
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,212.61435435435436,8.449783476914838,11.569930110521131,7.399387861412425,3.120146633606293,1.0503956155024134,graphColoring
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,212.61435435435436,10.449783476914838,15.99772003922113,10.6873313641313,5.547936562306292,0.23754788721646136,graphColoring
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,212.52156156156155,16.357051989527083,34.12593567753435,18.18916693664017,17.768883688007268,1.8321149471130873,kCore
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,212.52156156156155,18.357051989527083,42.39569590688435,23.52896784002172,24.038643917357266,5.1719158504946385,kCore
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,212.503963963964,16.98997964300662,51.709975873439355,30.840769606545248,34.719996230432734,13.850789963538627,pageRank
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,212.503963963964,18.98997964300662,63.94444115931936,38.929952511825604,44.95446151631274,19.939972868818984,pageRank
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,212.5906006006006,11.957003839118459,26.20040148203074,15.305162830550858,14.24339764291228,3.348158991432399,triangleCount
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,212.5906006006006,13.957003839118459,32.556401307950736,19.60845901461341,18.59939746883228,5.6514551754949505,triangleCount
