ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.000802,0.212494,1.0,0.000331,0.212494,1.0,217.56369369369372,6.057598185150341,6.096945955954707,6.014097074973833,0.039347770804366355,0.04350111017650793,625x264_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.004941,0.072265,0.992786,0.003331,0.072265,0.992786,216.0178978978979,4.19579853821146,4.239709153751359,4.058924129630383,0.0439106155398985,0.13687440858107713,638imagick_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.004941,0.072265,0.992786,0.003331,0.072265,0.992786,216.0178978978979,6.19579853821146,6.299830994701359,6.077579162644393,0.10403245648989845,0.11821937556706708,638imagick_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.270792,0.999935,0.102914,0.089523,0.999935,0.102914,212.59924924924925,21.19100818700259,64.11214915921603,14.347099054997589,42.921140972213436,6.8439091320050025,degreeCentr
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.270792,0.999935,0.102914,0.089523,0.999935,0.102914,212.59924924924925,23.19100818700259,76.94330111481604,18.29770301628718,53.75229292781344,4.893305170715411,degreeCentr
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.244973,0.102212,0.107774,0.180989,0.102212,0.107774,212.71015015015013,11.6528088307572,13.983533945164156,7.2982424380268265,2.330725114406956,4.354566392730374,graphColoring
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.244973,0.102212,0.107774,0.180989,0.102212,0.107774,212.71015015015013,13.6528088307572,19.184439353444155,10.54757471594596,5.531630522686955,3.105234114811241,graphColoring
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.250109,0.508953,0.100326,0.206294,0.508953,0.100326,212.58213213213216,15.51746151966223,34.64520004205966,15.65498472476965,19.127738522397433,0.1375232051074189,kCore
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.250109,0.508953,0.100326,0.206294,0.508953,0.100326,212.58213213213216,17.51746151966223,42.96510181836966,20.332592292870736,25.44764029870743,2.815130773208505,kCore
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.402535,0.602612,0.018362,0.379075,0.602612,0.018362,212.59693693693694,18.140985045611792,56.689804847693715,32.21291574023802,38.54881980208192,14.071930694626225,pageRank
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.402535,0.602612,0.018362,0.379075,0.602612,0.018362,212.59693693693694,20.140985045611792,69.99232749029372,40.613304954648186,49.851342444681926,20.472319909036393,pageRank
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.369995,0.823778,0.037691,0.139964,0.823778,0.037691,212.7483783783784,23.097399858819692,68.74343456709745,16.639094028744097,45.64603470827776,6.458305830075595,triangleCount
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.369995,0.823778,0.037691,0.139964,0.823778,0.037691,212.7483783783784,25.097399858819692,83.58719680039745,21.234701282809585,58.48979694157776,3.862698576010107,triangleCount
