ht_mode,alpha_mshr_hit_factor,llc_extra_ns,llc_extra_cyc,tL1_hit_cyc,tL2_hit_cyc,tL3_hit_cyc,m1_L1_miss_rate,m2_L2_miss_rate,m3_L3_miss_rate,p1_L1_new_mshr_frac,p2_L2_new_mshr_frac,p3_L3_new_mshr_frac,dram_avg_cyc,amat_stats_cyc,amat_textbook_cyc,amat_textbook_mshr_cyc,abs_err_textbook,abs_err_textbook_mshr,benchmark
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,206.74105105105107,4.138557053595083,4.158887102591908,4.058184116315727,0.020330048996825667,0.08037293727935602,638imagick_s
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.003328,0.071886,0.995466,0.003328,0.071886,0.995466,206.74105105105107,6.138557053595083,6.199344200831908,6.076809152618642,0.06078714723682577,0.06174790097644056,638imagick_s
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,203.1927327327327,11.051733795554584,21.274293622415026,12.916840582630897,10.222559826860442,1.8651067870763125,degreeCentr
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.078159,0.999935,0.102896,0.078159,0.999935,0.102896,203.1927327327327,13.051733795554584,26.400501212365025,16.60207392922081,13.34876741681044,3.550340133666227,degreeCentr
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,202.263003003003,8.411428240264124,11.548763808115737,7.395557402586043,3.137335567851613,1.0158708376780812,graphColoring
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.185846,0.102115,0.107747,0.185846,0.102115,0.107747,202.263003003003,10.411428240264124,15.976553736815738,10.683500905304918,5.565125496551614,0.27207266504079364,graphColoring
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,203.20921921921922,16.135808559932116,33.994865417533305,18.155402361378133,17.85905685760119,2.0195938014460175,kCore
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.262461,0.462945,0.115838,0.262461,0.462945,0.115838,203.20921921921922,18.135808559932116,42.2646256468833,23.495203264759684,24.128817086951187,5.359394704827569,kCore
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,201.67765765765768,16.93847807027102,51.666320945327435,30.828617752549476,34.72784287505641,13.890139682278456,pageRank
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.364502,0.602598,0.018358,0.364502,0.602598,0.018358,201.67765765765768,18.93847807027102,63.90078623120743,38.91780065782984,44.9623081609364,19.979322587558816,pageRank
tag+data,0.5,40.0,120.12012012012012,4.0,20.0,60.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,202.2408108108108,11.86531986850978,26.150247848649677,15.291634923553872,14.284927980139898,3.4263150550440926,triangleCount
tag+data+resp,0.5,40.0,120.12012012012012,6.0,30.0,90.0,0.124456,0.833344,0.046723,0.124456,0.833344,0.046723,202.2408108108108,13.86531986850978,32.50624767456968,19.594931107616425,18.6409278060599,5.729611239106646,triangleCount
